query,containment,similarity,bp,contigs,ksize,num_query_kmers,best_containment,cdbg_min_overhead,catlas_min_overhead,catlas_name
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/ivig_358.fa,0.0028653295128939827,0.002849002849002849,5079,163,21,347102,0.001901458360942893,0.2133492252681764,0.6371632765255635,SM_CTTKX_k21_r1
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/uvig_505586.fa,0.6666666666666666,0.32432432432432434,48788,1627,21,13759,0.39210698451922377,0.07381974248927038,0.667959133431807,SM_CTTKX_k21_r1
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/uvig_264832.fa,0.08333333333333333,0.07142857142857142,15683,471,21,10657,0.23852866660410998,0.14295347269049224,0.5941242216190324,SM_CTTKX_k21_r1
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/uvig_225190.fa,0.0,0.0,2776,75,21,65307,0.007732708591728299,0.32756324900133155,0.60423197492163,SM_CTTKX_k21_r1
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/uvig_308517.fa,0.0,0.0,1396,42,21,49008,0.0032239634345412995,0.4935897435897436,0.7158273381294964,SM_CTTKX_k21_r1
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/uvig_389464.fa,0.0,0.0,1510,50,21,44871,0.0035880635599830624,0.12972972972972974,0.6843137254901961,SM_CTTKX_k21_r1
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/uvig_360436.fa,0.0,0.0,1777,51,21,19146,0.023451373655071557,0.08739837398373984,0.40686922060766184,SM_CTTKX_k21_r1
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/uvig_110493.fa,0.25,0.25,14395,342,21,30919,0.14146641223842946,0.25599591767307367,0.42104566512243546,SM_CTTKX_k21_r1
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/uvig_52126.fa,0.0,0.0,1563,41,21,55131,0.004226297364459198,0.5732600732600732,0.6864064602960969,SM_CTTKX_k21_r1
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/uvig_245649.fa,0.07692307692307693,0.07142857142857142,30281,835,21,74926,0.06765341803913194,0.4575708935259497,0.6267579706943524,SM_CTTKX_k21_r1
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/uvig_516991.fa,0.056818181818181816,0.053763440860215055,29860,784,21,89177,0.08321652444015834,0.2765646324819653,0.47665726375176304,SM_CTTKX_k21_r1
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/uvig_219649.fa,0.0,0.0,4261,111,21,66210,0.02091829028847606,0.014234875444839857,0.3214110730034297,SM_CTTKX_k21_r1
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/uvig_143949.fa,0.0,0.0,1177,23,21,113628,0.0014961101137043686,0.6730769230769231,0.7629009762900977,SM_CTTKX_k21_r1
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/uvig_96206.fa,0.0,0.0,917,16,21,50360,0.002581413820492454,0.7405189620758483,0.7822445561139029,SM_CTTKX_k21_r1
/home/hehouts/phage_affix/fancy_phage/spacegraphcats/../data/ref_genomes/uvig_221329.fa,0.0625,0.0625,1727,53,21,14343,0.013177159590043924,0.44574780058651026,0.7166416791604198,SM_CTTKX_k21_r1
